,scenario,year,policy,retail price rate,storage cost rate,PV cost Rate,total demand rate,pv capacity additions
0,0,2018,Net-Metering,6.54,0,1.39,0.58,43.2
1,0,2019,Net-Metering,13.08,0,2.78,1.17,86.88
2,0,2020,Net-Metering,19.62,0,4.17,1.75,125.76
3,0,2021,Net-Metering,26.16,0,5.56,2.34,165.12
4,0,2022,Net-Metering,32.71,0,6.95,2.92,201.6
5,0,2023,Net-Metering,39.25,0,8.34,3.51,235.68
6,0,2024,Net-Metering,45.79,0,9.73,4.09,264.96
7,0,2025,Net-Metering,52.33,0,11.13,4.68,296.16
8,0,2026,Net-Metering,58.87,0,12.52,5.26,321.6
9,0,2027,Net-Metering,65.41,0,13.91,5.85,347.04
10,0,2028,Net-Metering,71.95,0,15.3,6.43,369.6
11,0,2029,Net-Metering,78.49,0,16.69,7.01,392.64
12,1,2018,Net-Metering,3.85,0,1.96,0.55,45.6
13,1,2019,Net-Metering,7.7,0,3.93,1.11,88.8
14,1,2020,Net-Metering,11.55,0,5.89,1.66,128.16
15,1,2021,Net-Metering,15.4,0,7.86,2.21,165.12
16,1,2022,Net-Metering,19.25,0,9.82,2.77,200.16
17,1,2023,Net-Metering,23.1,0,11.79,3.32,234.24
18,1,2024,Net-Metering,26.95,0,13.75,3.87,266.4
19,1,2025,Net-Metering,30.8,0,15.72,4.42,296.64
20,1,2026,Net-Metering,34.65,0,17.68,4.98,324.96
21,1,2027,Net-Metering,38.5,0,19.65,5.53,350.4
22,1,2028,Net-Metering,42.35,0,21.61,6.08,379.68
23,1,2029,Net-Metering,46.2,0,23.58,6.64,403.68
24,2,2018,Net-Metering,6.6,0,1.55,0.56,44.16
25,2,2019,Net-Metering,13.2,0,3.09,1.13,85.92
26,2,2020,Net-Metering,19.79,0,4.64,1.69,127.2
27,2,2021,Net-Metering,26.39,0,6.18,2.25,164.16
28,2,2022,Net-Metering,32.99,0,7.73,2.81,196.8
29,2,2023,Net-Metering,39.59,0,9.28,3.38,229.92
30,2,2024,Net-Metering,46.19,0,10.82,3.94,263.04
31,2,2025,Net-Metering,52.79,0,12.37,4.5,294.72
32,2,2026,Net-Metering,59.38,0,13.91,5.07,318.24
33,2,2027,Net-Metering,65.98,0,15.46,5.63,347.04
34,2,2028,Net-Metering,72.58,0,17.01,6.19,371.52
35,2,2029,Net-Metering,79.18,0,18.55,6.76,393.6
36,3,2018,Net-Metering,5.44,0,1.99,0.6,46.56
37,3,2019,Net-Metering,10.88,0,3.97,1.19,89.28
38,3,2020,Net-Metering,16.32,0,5.96,1.79,130.56
39,3,2021,Net-Metering,21.76,0,7.94,2.38,167.52
40,3,2022,Net-Metering,27.21,0,9.93,2.98,204.96
41,3,2023,Net-Metering,32.65,0,11.92,3.57,244.32
42,3,2024,Net-Metering,38.09,0,13.9,4.17,274.56
43,3,2025,Net-Metering,43.53,0,15.89,4.76,304.32
44,3,2026,Net-Metering,48.97,0,17.87,5.36,332.64
45,3,2027,Net-Metering,54.41,0,19.86,5.95,359.52
46,3,2028,Net-Metering,59.85,0,21.84,6.55,383.52
47,3,2029,Net-Metering,65.29,0,23.83,7.14,405.12
48,4,2018,Net-Metering,5.32,0,1.49,0.52,45.12
49,4,2019,Net-Metering,10.63,0,2.98,1.03,85.92
50,4,2020,Net-Metering,15.95,0,4.47,1.55,125.28
51,4,2021,Net-Metering,21.27,0,5.96,2.07,161.28
52,4,2022,Net-Metering,26.58,0,7.45,2.58,197.76
53,4,2023,Net-Metering,31.9,0,8.94,3.1,232.8
54,4,2024,Net-Metering,37.22,0,10.44,3.62,262.08
55,4,2025,Net-Metering,42.53,0,11.93,4.13,292.8
56,4,2026,Net-Metering,47.85,0,13.42,4.65,317.28
57,4,2027,Net-Metering,53.17,0,14.91,5.17,346.08
58,4,2028,Net-Metering,58.48,0,16.4,5.68,369.12
59,4,2029,Net-Metering,63.8,0,17.89,6.2,387.84
60,5,2018,Net-Metering,4.32,0,1.36,0.59,44.16
61,5,2019,Net-Metering,8.64,0,2.71,1.17,84.96
62,5,2020,Net-Metering,12.96,0,4.07,1.76,125.28
63,5,2021,Net-Metering,17.28,0,5.43,2.35,164.64
64,5,2022,Net-Metering,21.6,0,6.78,2.94,200.16
65,5,2023,Net-Metering,25.92,0,8.14,3.52,234.24
66,5,2024,Net-Metering,30.24,0,9.49,4.11,264.96
67,5,2025,Net-Metering,34.56,0,10.85,4.7,293.28
68,5,2026,Net-Metering,38.88,0,12.21,5.28,319.68
69,5,2027,Net-Metering,43.2,0,13.56,5.87,345.12
70,5,2028,Net-Metering,47.52,0,14.92,6.46,368.64
71,5,2029,Net-Metering,51.84,0,16.28,7.05,387.84
72,6,2018,Net-Metering,3.97,0,1.56,0.56,45.6
73,6,2019,Net-Metering,7.93,0,3.13,1.12,83.04
74,6,2020,Net-Metering,11.9,0,4.69,1.69,125.28
75,6,2021,Net-Metering,15.87,0,6.26,2.25,161.28
76,6,2022,Net-Metering,19.84,0,7.82,2.81,193.92
77,6,2023,Net-Metering,23.8,0,9.38,3.37,228.96
78,6,2024,Net-Metering,27.77,0,10.95,3.93,262.08
